id,label
533,0
534,0
535,0
536,0
537,0
538,1
539,1
540,0
541,1
542,0
543,1
544,1
545,1
546,1
547,0
548,1
549,0
550,0
551,1
552,1
553,1
554,1
555,1
556,0
557,0
558,1
559,1
560,1
561,1
562,0
563,0
564,0
565,0
566,0
567,1
568,1
569,0
570,1
571,1
572,0
573,0
574,1
575,0
576,1
577,1
578,1
579,1
580,1
581,0
582,1
583,1
584,1
585,0
586,1
587,1
588,1
589,1
590,1
591,1
592,0
593,1
594,0
595,1
596,0
597,1
598,1
599,0
600,0
601,0
602,1
603,1
604,0
605,0
606,1
607,1
608,0
609,0
610,0
611,1
612,0
613,0
614,1
615,0
616,0
617,1
618,0
619,1
620,0
621,0
622,0
623,1
624,0
625,0
626,1
627,0
628,1
629,1
630,0
631,1
632,0
633,0
634,0
635,0
636,0
637,1
638,0
639,0
640,1
641,0
642,0
643,0
644,1
645,0
646,0
647,0
648,1
649,0
650,1
651,1
652,1
653,0
654,0
655,1
656,1
657,0
658,1
659,1
660,0
661,0
662,0
663,0
664,0
665,1
666,0
667,1
668,1
669,0
670,0
671,1
672,1
673,0
674,1
675,0
676,1
677,1
678,1
679,0
680,0
681,0
682,0
683,0
684,0
685,1
686,0
687,0
688,0
689,0
690,0
691,1
692,1
693,0
694,1
695,0
696,1
697,0
698,0
699,1
700,1
701,1
702,0
703,1
704,0
705,0
706,1
707,0
708,1
709,1
710,0
711,0
712,1
713,0
714,0
715,1
716,1
717,0
718,0
719,0
720,0
721,1
722,1
723,1
724,0
725,1
726,0
727,1
728,0
729,1
730,1
731,0
732,1
733,1
734,1
735,1
736,1
737,0
738,1
739,0
740,1
741,0
742,0
743,1
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,1
756,1
757,0
758,1
759,1
760,0
761,0
762,1
763,1
764,1
765,0
766,1
767,0
768,0
769,1
770,0
771,0
772,0
773,0
774,1
775,0
776,0
777,1
778,0
779,1
780,1
781,0
782,0
783,0
784,0
785,0
786,1
787,0
788,0
789,1
790,0
791,0
792,0
793,1
794,1
795,0
796,1
797,1
798,0
799,1
800,1
801,1
802,1
803,0
804,0
805,1
806,1
807,0
808,1
809,0
810,0
811,1
812,1
813,0
814,0
815,0
816,0
817,1
818,0
819,1
820,1
821,1
822,0
823,1
824,1
825,1
826,0
827,1
828,0
829,0
830,0
831,1
832,0
833,0
834,1
835,1
836,1
837,0
838,0
839,0
840,1
841,0
842,0
843,0
844,1
845,1
846,0
847,0
848,0
849,0
850,0
851,1
852,0
853,0
854,1
855,0
856,1
857,1
858,1
859,1
860,0
861,0
862,0
863,0
864,1
865,1
866,1
867,0
868,0
869,1
870,1
871,1
872,1
873,1
874,1
875,0
876,1
877,1
878,0
879,1
880,0
881,1
882,0
883,0
884,0
885,0
886,1
887,1
888,1
889,0
890,1
891,0
892,0
893,0
894,1
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,1
903,1
904,1
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,1
913,1
914,1
915,1
916,1
917,0
918,0
919,1
920,1
921,0
922,0
923,0
924,1
925,0
926,1
927,0
928,1
929,1
930,0
931,0
932,0
933,0
934,0
935,1
936,0
937,0
938,0
939,1
940,1
941,1
942,1
943,1
944,1
945,0
